|  time  | address  | load |  in   |  out  |
| 146    |    16428 |    0 | 32270 |     0 |
| 146+   |    21074 |    1 |  9204 |     0 |
| 147    |    21074 |    1 |  9204 |  9204 |
| 147+   |    23199 |    0 |  9204 |     0 |
| 148    |    23199 |    0 |  9204 |     0 |
| 148+   |    30442 |    0 |  9204 |     0 |
| 149    |    30442 |    0 |  9204 |     0 |
| 149+   |    15027 |    1 | 24977 |     0 |
| 150    |    15027 |    1 | 24977 | 24977 |
| 150+   |    16524 |    1 |  2538 |     0 |
| 151    |    16524 |    1 |  2538 |  2538 |
| 151+   |    24295 |    1 | 16633 |     0 |
| 152    |    24295 |    1 | 16633 | 16633 |
| 152+   |      267 |    0 | 16633 |     0 |
| 153    |      267 |    0 | 16633 |     0 |
| 153+   |     3128 |    0 | 16633 |     0 |
| 154    |     3128 |    0 | 16633 |     0 |
| 154+   |    12007 |    1 | 29537 |     0 |
| 155    |    12007 |    1 | 29537 | 29537 |
| 155+   |    32317 |    1 | 18628 |     0 |
| 156    |    32317 |    1 | 18628 | 18628 |
| 156+   |     9569 |    1 | 18356 |     0 |
| 157    |     9569 |    1 | 18356 | 18356 |
| 157+   |    29161 |    1 | 28551 |     0 |
| 158    |    29161 |    1 | 28551 | 28551 |
| 158+   |    25661 |    1 | 10825 |     0 |
| 159    |    25661 |    1 | 10825 | 10825 |
| 159+   |     6627 |    1 | 11516 |     0 |
| 160    |     6627 |    1 | 11516 | 11516 |
| 160+   |    29207 |    0 | 11516 |     0 |
| 161    |    29207 |    0 | 11516 |     0 |
| 161+   |     6146 |    1 |  4343 |     0 |
| 162    |     6146 |    1 |  4343 |  4343 |
| 162+   |    32360 |    1 | 30525 |     0 |
| 163    |    32360 |    1 | 30525 | 30525 |
| 163+   |     1148 |    0 | 30525 |     0 |
| 164    |     1148 |    0 | 30525 |     0 |
| 164+   |    28041 |    0 | 30525 |     0 |
| 165    |    28041 |    0 | 30525 |     0 |
| 165+   |     4743 |    0 | 30525 |     0 |
| 166    |     4743 |    0 | 30525 |     0 |
| 166+   |    27912 |    1 |  6156 |     0 |
| 167    |    27912 |    1 |  6156 |  6156 |
| 167+   |    11205 |    1 | 23731 |     0 |
| 168    |    11205 |    1 | 23731 | 23731 |
| 168+   |     4350 |    1 | 18971 |     0 |
| 169    |     4350 |    1 | 18971 | 18971 |
| 169+   |     6396 |    0 | 18971 |     0 |
| 170    |     6396 |    0 | 18971 |     0 |
| 170+   |    10392 |    1 | 10257 |     0 |
| 171    |    10392 |    1 | 10257 | 10257 |
| 171+   |    10235 |    1 |  2528 |     0 |
| 172    |    10235 |    1 |  2528 |  2528 |
| 172+   |    24683 |    0 |  2528 |     0 |
| 173    |    24683 |    0 |  2528 |     0 |
| 173+   |    12864 |    1 | 13809 |     0 |
| 174    |    12864 |    1 | 13809 | 13809 |
| 174+   |    17611 |    0 | 13809 |     0 |
| 175    |    17611 |    0 | 13809 |     0 |
| 175+   |    13801 |    1 | 22728 |     0 |
| 176    |    13801 |    1 | 22728 | 22728 |
| 176+   |    11001 |    1 |  3341 |     0 |
| 177    |    11001 |    1 |  3341 |  3341 |
| 177+   |    29839 |    0 |  3341 |     0 |
| 178    |    29839 |    0 |  3341 |     0 |
| 178+   |     1011 |    0 |  3341 |     0 |
| 179    |     1011 |    0 |  3341 |     0 |
| 179+   |     2907 |    0 |  3341 |     0 |
| 180    |     2907 |    0 |  3341 |     0 |
| 180+   |     5843 |    0 |  3341 |     0 |
| 181    |     5843 |    0 |  3341 |     0 |
| 181+   |    22987 |    0 |  3341 |     0 |
| 182    |    22987 |    0 |  3341 |     0 |
| 182+   |    18390 |    1 | 27738 |     0 |
| 183    |    18390 |    1 | 27738 | 27738 |
| 183+   |    27310 |    0 | 27738 |     0 |
| 184    |    27310 |    0 | 27738 |     0 |
| 184+   |    12910 |    0 | 27738 |     0 |
| 185    |    12910 |    0 | 27738 |     0 |
| 185+   |    18109 |    1 | 25257 |     0 |
| 186    |    18109 |    1 | 25257 | 25257 |
| 186+   |    31236 |    1 | 13903 |     0 |
| 187    |    31236 |    1 | 13903 | 13903 |
| 187+   |    18858 |    0 | 13903 |     0 |
| 188    |    18858 |    0 | 13903 |     0 |
| 188+   |     2849 |    0 | 13903 |     0 |
| 189    |     2849 |    0 | 13903 |     0 |
| 189+   |    13746 |    0 | 13903 |     0 |
| 190    |    13746 |    0 | 13903 |     0 |
| 190+   |     9537 |    1 | 16924 |     0 |
| 191    |     9537 |    1 | 16924 | 16924 |
| 191+   |    18482 |    0 | 16924 |     0 |
| 192    |    18482 |    0 | 16924 |     0 |
| 192+   |    19317 |    1 | 11770 |     0 |
| 193    |    19317 |    1 | 11770 | 11770 |
| 193+   |    10115 |    1 | 12964 |     0 |
| 194    |    10115 |    1 | 12964 | 12964 |
| 194+   |     7143 |    1 |  3073 |     0 |
| 195    |     7143 |    1 |  3073 |  3073 |
| 195+   |    25411 |    1 |  2679 |     0 |
| 196    |    25411 |    1 |  2679 |  2679 |
| 196+   |    12673 |    1 |  6505 |     0 |
| 197    |    12673 |    1 |  6505 |  6505 |
| 197+   |    13206 |    0 |  6505 |     0 |
| 198    |    13206 |    0 |  6505 |     0 |
| 198+   |    15674 |    0 |  6505 |     0 |
| 199    |    15674 |    0 |  6505 |     0 |
