| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 116  |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 117  |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 118  |      27 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 119  |      27 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 120  |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 121  |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 122  |      18 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 123  |      20 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 124  |      20 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 125  |      40 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 126  |      40 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 127  |      17 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          2 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 128  |      17 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
| 129  |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          3 |          0 |          1 |          2 |          3 |          4 |         -1 |          0 |          0 |          0 |
