| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 109  |      27 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          7 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 110  |      27 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          7 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 111  |      19 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          7 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 112  |      19 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 113  |      16 |       7 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 114  |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 115  |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 116  |      19 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 117  |      14 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 118  |      14 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 119  |      19 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 120  |      19 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 121  |      20 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 122  |      28 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 123  |      28 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 124  |      19 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          8 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 125  |      19 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 126  |      16 |       8 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
| 127  |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          9 |          0 |          1 |          2 |          3 |          4 |          5 |          6 |
